,r,VaR,ES,hit
2018-05-31,-0.014728954825606782,-0.09560296426896073,-0.10636447953842917,0
2018-06-30,-0.008815425936534648,-0.0935639135201558,-0.10417041594600666,0
2018-07-31,0.03406901053347229,-0.0925430258763742,-0.10292736100211859,0
2018-08-31,-0.026977777829245823,-0.09146454069528388,-0.10177260774058992,0
2018-09-30,-0.00281268388809059,-0.09077375060535782,-0.10103018900950175,0
2018-10-31,-0.06693785875833655,-0.08784152284979298,-0.09786293041887417,0
2018-11-30,-0.008593550044717967,-0.08945673119763656,-0.09992123180543903,0
2018-12-31,-0.0607517594586447,-0.0878635797915297,-0.09817670925319537,0
2019-01-31,0.06100037075616359,-0.08975845977692244,-0.1004450264716904,0
2019-02-28,0.038535557711082684,-0.09395810258134943,-0.10498938402447083,0
2019-03-31,0.012949843914522781,-0.09372929791644401,-0.10474921723493637,0
2019-04-30,0.05014695449075151,-0.09272482277726443,-0.10360112119674549,0
2019-05-31,-0.06074806869004591,-0.09484587673879023,-0.10590162962180696,0
2019-06-30,0.0500393100762465,-0.09599663857954113,-0.10736883709629162,0
2019-07-31,0.0011779385253791015,-0.09824762283221199,-0.10977673803046299,0
2019-08-31,-0.012478208516676201,-0.09721694178098135,-0.10854694832395562,0
2019-09-30,0.03640379547891901,-0.09547100375702768,-0.1066451032524809,0
2019-10-31,0.012219225982850529,-0.09601347083635017,-0.10719630700627908,0
2019-11-30,0.026054922439865697,-0.09531585988761691,-0.10633556406390186,0
2019-12-31,0.011400257452873647,-0.09398557270858754,-0.1048840988881579,0
2020-01-31,-0.017558749451275397,-0.09326805615074008,-0.1040080932259257,0
2020-02-29,-0.08264371691728802,-0.08987487946983368,-0.10038021989801109,0
2020-03-31,-0.1888550924286215,-0.09288094857725827,-0.10406792821995411,1
2020-04-30,0.06285849799736525,-0.12109314824760498,-0.13618937612034596,0
2020-05-31,0.046378997461755576,-0.12370140610033108,-0.13895923997761414,0
2020-06-30,0.04775759472748706,-0.12425750372014044,-0.1394974904354813,0
2020-07-31,-0.014065249408107966,-0.12548003709534156,-0.14069019832277782,0
2020-08-31,0.03456497127414034,-0.1224940846973162,-0.13746033021704443,0
2020-09-30,-0.018439982944435152,-0.12265144630403477,-0.13738620881967956,0
2020-10-31,-0.057486047812996426,-0.12130159702728609,-0.13581144321869587,0
2020-11-30,0.15789807694646804,-0.11864989449320744,-0.13314119021170603,0
2020-12-31,0.019547311075198155,-0.13858602480173338,-0.155260415609016,0
2021-01-31,-0.01337684864797241,-0.13770923570444984,-0.15411549708714542,0
2021-02-28,0.035296520746563566,-0.13617056003494876,-0.15228160351992198,0
2021-03-31,0.0637876669449356,-0.1361270165573141,-0.1520974853851152,0
2021-04-30,0.021390816538062483,-0.1377958212844949,-0.153896739089556,0
2021-05-31,0.02456706854847209,-0.13630448638136508,-0.15220307850982248,0
2021-06-30,0.010418868159582614,-0.13481757800473967,-0.15052668763153082,0
2021-07-31,0.013056602014859347,-0.13368701090733998,-0.14910914604637418,0
2021-08-31,0.024261788196477195,-0.1309890050317345,-0.14615535931458998,0
2021-09-30,-0.03431420807858874,-0.12975903827898835,-0.14475223188283043,0
2021-10-31,0.04019667849862471,-0.128306889622337,-0.14319251779130882,0
2021-11-30,-0.03349486107751061,-0.1282450044614809,-0.1430672219770402,0
2021-12-31,0.048185727341478364,-0.12685197657706704,-0.14156472325074484,0
2022-01-31,-0.03548054423704771,-0.12606476636982525,-0.14071954680539708,0
2022-02-28,-0.053751372985221334,-0.12487866279703173,-0.13944053097783846,0
2022-03-31,-0.007064482150104135,-0.12410440009349455,-0.1387340411616431,0
2022-04-30,-0.019683952318798024,-0.120969174467148,-0.1353363321160052,0
2022-05-31,0.005673007400613326,-0.11875556129219872,-0.1329377858600928,0
2022-06-30,-0.0966390621525185,-0.11683324896045948,-0.13080026704275755,0
2022-07-31,0.07046116026951817,-0.1218470713632465,-0.13657494032541712,0
2022-08-31,-0.05165723112330681,-0.1252553489311865,-0.14026470413749517,0
2022-09-30,-0.06532087197860818,-0.12480385148765609,-0.13985417761598853,0
2022-10-31,0.0762268692295882,-0.12436214481067999,-0.13958060117787707,0
2022-11-30,0.08038765002244516,-0.1279357851980126,-0.14348567113261393,0
2022-12-31,-0.03653087207584398,-0.13270041766105045,-0.14862895031367068,0
2023-01-31,0.0919343032719744,-0.13130198773588905,-0.14711558657059223,0
2023-02-28,0.01625985052352573,-0.1367039583780143,-0.1530570921780234,0
2023-03-31,0.007121940001629412,-0.13562338227866533,-0.15173161558701848,0
2023-04-30,0.014706443747802878,-0.1340947110533336,-0.1499574616812016,0
2023-05-31,-0.02507265873016682,-0.13148251220569687,-0.1470915741554823,0
2023-06-30,0.0374239202730402,-0.1298586386389541,-0.1452895675230342,0
2023-07-31,0.019037560189430404,-0.12983946576417746,-0.14517346272832707,0
2023-08-31,-0.03133196939360437,-0.12784256622790868,-0.14296223883445958,0
2023-09-30,-0.032710936783659335,-0.12661508382069553,-0.14159301949312977,0
2023-10-31,-0.033189559833134534,-0.12515383267545907,-0.1400135904426672,0
2023-11-30,0.07635879004205104,-0.12420381964379212,-0.13887795734659955,0
2023-12-31,0.03172786133477484,-0.12863150268483672,-0.1436752656172394,0
2024-01-31,0.021377006254375698,-0.12866022620800321,-0.14351835449506248,0
2024-02-29,0.03260075500897901,-0.126051912000798,-0.14067098072494766,0
2024-03-31,0.04347864186289823,-0.12484953532999964,-0.13933318124289296,0
2024-04-30,-0.019416290604059312,-0.12515935251917212,-0.13961857658421087,0
2024-05-31,0.02695961362251713,-0.12219574517539021,-0.13643354589439033,0
2024-06-30,-0.02515579302669781,-0.12202021278914954,-0.13605707212732487,0
2024-07-31,0.004216100118908657,-0.11924141868881007,-0.13309105545286573,0
2024-08-31,0.016113777773509058,-0.1176021196138546,-0.13124435866576353,0
2024-09-30,0.01015122778850938,-0.1166116134808577,-0.13007380977178523,0
2024-10-31,-0.03400035923681551,-0.11441469965176329,-0.12766097668816176,0
2024-11-30,0.0003459395612646332,-0.11306761668213046,-0.12624311112534867,0
2024-12-31,0.013607572204377884,-0.11091381734626278,-0.12387757191230028,0
2025-01-31,0.07016396347039955,-0.10951107907117151,-0.12229816734044738,0
2025-02-28,0.033929233310405746,-0.11402066734735468,-0.1271817661084634,0
2025-03-31,-0.0312437321918146,-0.11439251739842203,-0.12736081080498673,0
